Question Number,Section,Question,Document Embeddings
117,SECTION 4: COMPUTING POLICY (Q106–Q155),Is it permissible for individual users to distribute university-licensed software to others?,
118,SECTION 4: COMPUTING POLICY (Q106–Q155),What does the policy say about information not created by the user?,
119,SECTION 4: COMPUTING POLICY (Q106–Q155),What types of communications are considered equally improper on computers as on other media?,
120,SECTION 4: COMPUTING POLICY (Q106–Q155),What policy governs free expression of ideas in CMU's computing environment?,
121,SECTION 4: COMPUTING POLICY (Q106–Q155),What does the policy prohibit regarding excessive use of system resources?,
122,SECTION 4: COMPUTING POLICY (Q106–Q155),What is the consequence once a system administrator informs a user that their use is excessive?,
123,SECTION 4: COMPUTING POLICY (Q106–Q155),What should a user do if uncertain whether their needs constitute excessive use?,
124,SECTION 4: COMPUTING POLICY (Q106–Q155),What risk exists for data stored on university or personally-owned computers?,
125,SECTION 4: COMPUTING POLICY (Q106–Q155),Can deleted files be recovered at CMU? Under what circumstances?,
126,SECTION 4: COMPUTING POLICY (Q106–Q155),What must the university do if subpoenaed to recover data it believes was deleted?,
127,SECTION 4: COMPUTING POLICY (Q106–Q155),What personal uses of computing resources are permitted at CMU?,
128,SECTION 4: COMPUTING POLICY (Q106–Q155),What personal use of computing resources is explicitly prohibited?,
129,SECTION 4: COMPUTING POLICY (Q106–Q155),What three criteria must personally-owned computers meet to be covered by this policy?,
130,SECTION 4: COMPUTING POLICY (Q106–Q155),What are the three requirements for appropriate personal use of computing resources?,
131,SECTION 4: COMPUTING POLICY (Q106–Q155),Can a student use CMU software procured with academic licenses for commercial purposes?,
132,SECTION 4: COMPUTING POLICY (Q106–Q155),"What type of domain is prohibited from being created within Carnegie Mellon's ""edu"" domain?",
133,SECTION 4: COMPUTING POLICY (Q106–Q155),Is advertising services using CMU email accounts permitted?,
134,SECTION 4: COMPUTING POLICY (Q106–Q155),Who can students contact to determine if a particular computing activity is permissible?,
135,SECTION 4: COMPUTING POLICY (Q106–Q155),What right does CMU reserve regarding personal use of systems and networks?,
136,SECTION 4: COMPUTING POLICY (Q106–Q155),What is required for department- or group-specific computing access beyond university policies?,
137,SECTION 4: COMPUTING POLICY (Q106–Q155),What is the appropriate response to violations of computing policies regarding network access?,
138,SECTION 4: COMPUTING POLICY (Q106–Q155),Does the Computing Policy restrict the free expression of ideas?,
139,SECTION 4: COMPUTING POLICY (Q106–Q155),What does the policy say about information created by the user potentially not belonging to them?,
140,SECTION 4: COMPUTING POLICY (Q106–Q155),How must resources like CPU time and network bandwidth be shared?,
141,SECTION 4: COMPUTING POLICY (Q106–Q155),"Give two examples of ""excessive use"" of computing resources.",
142,SECTION 4: COMPUTING POLICY (Q106–Q155),What does the policy say about novice users who are unaware they are excessively using resources?,
143,SECTION 4: COMPUTING POLICY (Q106–Q155),What happens if an individual or group's personal use of university resources becomes excessive?,
144,SECTION 4: COMPUTING POLICY (Q106–Q155),"What is the university's position on data loss for students, faculty, or staff?",
145,SECTION 4: COMPUTING POLICY (Q106–Q155),What are the rules for personally-owned computers connected via off-campus networks?,
146,SECTION 4: COMPUTING POLICY (Q106–Q155),What is the role of the Information Security Office at CMU?,
147,SECTION 4: COMPUTING POLICY (Q106–Q155),What does the computing policy say about university members' compliance with the law?,
148,SECTION 4: COMPUTING POLICY (Q106–Q155),"What is defined as a ""computing/communications system"" for the purposes of this policy?",
149,SECTION 4: COMPUTING POLICY (Q106–Q155),What are department- or group-specific policies in addition to?,
150,SECTION 4: COMPUTING POLICY (Q106–Q155),Under what circumstances may access be authorized by specific departments or research centers?,
151,SECTION 4: COMPUTING POLICY (Q106–Q155),What does the policy say about CMU's computing resources being contingent on community membership?,
152,SECTION 4: COMPUTING POLICY (Q106–Q155),"What is the policy on creating "".com"" domains within CMU's "".edu"" domain?",
153,SECTION 4: COMPUTING POLICY (Q106–Q155),Is using CMU servers to advertise products permitted?,
154,SECTION 4: COMPUTING POLICY (Q106–Q155),What does the policy say about the use of resources for personal financial gain activities?,
155,SECTION 4: COMPUTING POLICY (Q106–Q155),"What does the phrase ""reasonable, mature and ethical person"" refer to in the Computing Policy?",
156,SECTION 5: GRADING POLICIES (Q156–Q220),What does CMU's Grading Policy cover?,
157,SECTION 5: GRADING POLICIES (Q156–Q220),"Who is defined as a ""student"" for purposes of the Grading Policy?",
158,SECTION 5: GRADING POLICIES (Q156–Q220),"Who is defined as a ""non-degree student""?",
159,SECTION 5: GRADING POLICIES (Q156–Q220),"Who counts as ""faculty"" for the purposes of the Grading Policy?",
160,SECTION 5: GRADING POLICIES (Q156–Q220),"Who is the ""instructor of record"" and where is this recorded?",
161,SECTION 5: GRADING POLICIES (Q156–Q220),When are final grades awarded at CMU?,
162,SECTION 5: GRADING POLICIES (Q156–Q220),What happens if an instructor does not assign a grade to a student?,
163,SECTION 5: GRADING POLICIES (Q156–Q220),Who receives a copy of the query sent when an instructor fails to assign a grade?,
164,SECTION 5: GRADING POLICIES (Q156–Q220),What is the deadline for a department head to ensure a grade is assigned after a query?,
165,SECTION 5: GRADING POLICIES (Q156–Q220),Under what circumstances may a final grade be changed?,
166,SECTION 5: GRADING POLICIES (Q156–Q220),"For undergraduates, whose approval is required to change a final grade?",
167,SECTION 5: GRADING POLICIES (Q156–Q220),"For graduate students, whose approval is required to change a final grade?",
168,SECTION 5: GRADING POLICIES (Q156–Q220),What is the purpose of mid-semester grades?,
169,SECTION 5: GRADING POLICIES (Q156–Q220),Are mid-semester grades permanent?,
170,SECTION 5: GRADING POLICIES (Q156–Q220),Will changes to mid-semester grades typically be accepted?,
171,SECTION 5: GRADING POLICIES (Q156–Q220),Under what condition may an Incomplete (I) grade be awarded?,
172,SECTION 5: GRADING POLICIES (Q156–Q220),What must an instructor specify when awarding an Incomplete grade?,
173,SECTION 5: GRADING POLICIES (Q156–Q220),What is the deadline for a student to complete work for an Incomplete grade?,
174,SECTION 5: GRADING POLICIES (Q156–Q220),What happens if a student fails to complete an Incomplete by the deadline?,
175,SECTION 5: GRADING POLICIES (Q156–Q220),When must an instructor record a permanent grade replacing an Incomplete?,
176,SECTION 5: GRADING POLICIES (Q156–Q220),Who may elect to take a course pass/fail?,
177,SECTION 5: GRADING POLICIES (Q156–Q220),What preconditions can prevent a student from taking a course pass/fail?,
178,SECTION 5: GRADING POLICIES (Q156–Q220),When must a student submit a Grade Option Request Form for pass/fail?,
179,SECTION 5: GRADING POLICIES (Q156–Q220),Is the decision to take a course pass/fail reversible?,
180,SECTION 5: GRADING POLICIES (Q156–Q220),Does the instructor learn that a student has chosen pass/fail?,
181,SECTION 5: GRADING POLICIES (Q156–Q220),"What letter grades are converted to a passing ""P"" on a student's record?",
182,SECTION 5: GRADING POLICIES (Q156–Q220),What grade is recorded for below-D work in a pass/fail course?,
183,SECTION 5: GRADING POLICIES (Q156–Q220),Do P or N units factor into a student's QPA?,
184,SECTION 5: GRADING POLICIES (Q156–Q220),What process must a department follow to designate a course as pass/fail only or graded only?,
185,SECTION 5: GRADING POLICIES (Q156–Q220),What is auditing a course?,
186,SECTION 5: GRADING POLICIES (Q156–Q220),What must a student do to audit a course at CMU?,
187,SECTION 5: GRADING POLICIES (Q156–Q220),May a full-time student audit a course without additional charges?,
188,SECTION 5: GRADING POLICIES (Q156–Q220),What is the tuition for part-time or non-degree students who audit a course?,
189,SECTION 5: GRADING POLICIES (Q156–Q220),What is the deadline to drop a course at CMU?,
190,SECTION 5: GRADING POLICIES (Q156–Q220),What is the deadline to drop a mini-semester course?,
191,SECTION 5: GRADING POLICIES (Q156–Q220),What happens if a course is dropped before the deadline?,
192,SECTION 5: GRADING POLICIES (Q156–Q220),What grade appears on a student's record after the drop deadline if they withdraw?,
193,SECTION 5: GRADING POLICIES (Q156–Q220),Do W grades apply to graduate students at CMU?,
194,SECTION 5: GRADING POLICIES (Q156–Q220),Which graduate programs record W grades?,
195,SECTION 5: GRADING POLICIES (Q156–Q220),What is a late drop voucher?,
196,SECTION 5: GRADING POLICIES (Q156–Q220),What is the minimum number of units for a full-time undergraduate student?,
197,SECTION 5: GRADING POLICIES (Q156–Q220),Who can grant permission to drop below the 36-unit minimum for undergraduates?,
198,SECTION 5: GRADING POLICIES (Q156–Q220),"When a course is repeated, how are all grades treated on the official transcript?",
199,SECTION 5: GRADING POLICIES (Q156–Q220),What approval is required for an undergraduate to repeat a course they have already passed?,
200,SECTION 5: GRADING POLICIES (Q156–Q220),"If a student repeats a passed course, how many units count toward graduation?",
201,SECTION 5: GRADING POLICIES (Q156–Q220),What is the undergraduate grading scale and quality points for each grade?,
202,SECTION 5: GRADING POLICIES (Q156–Q220),"What does an ""R"" grade signify in the undergraduate grading scale?",
203,SECTION 5: GRADING POLICIES (Q156–Q220),"What does an ""AD"" grade signify?",
204,SECTION 5: GRADING POLICIES (Q156–Q220),What is the graduate grading scale and associated quality points?,
205,SECTION 5: GRADING POLICIES (Q156–Q220),Is an A+ permitted in H&SS or CIT graduate courses?,
206,SECTION 5: GRADING POLICIES (Q156–Q220),Is a D or D+ permitted in Tepper graduate courses?,
207,SECTION 5: GRADING POLICIES (Q156–Q220),What grading scale do graduate students who entered CMU before Fall 1995 follow?,
208,SECTION 5: GRADING POLICIES (Q156–Q220),What happens to a graduate student's past semester QPAs when they return from leave?,
209,SECTION 5: GRADING POLICIES (Q156–Q220),What is the minimum passing grade in graduate courses determined by?,
210,SECTION 5: GRADING POLICIES (Q156–Q220),Who may take undergraduate courses and be graded on the graduate grading scale?,
211,SECTION 5: GRADING POLICIES (Q156–Q220),Where should questions about grading for a specific course be directed?,
212,SECTION 5: GRADING POLICIES (Q156–Q220),Where should graduate students with pass/fail or drop/withdrawal questions go?,
213,SECTION 5: GRADING POLICIES (Q156–Q220),How may an exception to any grading policy be requested?,
214,SECTION 5: GRADING POLICIES (Q156–Q220),What does the policy say about the grading of special students taking graduate courses?,
215,SECTION 5: GRADING POLICIES (Q156–Q220),What is the last day a student may withdraw from a standard course?,
216,SECTION 5: GRADING POLICIES (Q156–Q220),What does the policy say about the purpose of mid-semester grades in relation to advisors?,
217,SECTION 5: GRADING POLICIES (Q156–Q220),What is the QPA implication of a W grade?,
218,SECTION 5: GRADING POLICIES (Q156–Q220),Are N units factored into QPA?,
219,SECTION 5: GRADING POLICIES (Q156–Q220),"What does the policy mean by saying all students in a class should be ""treated equally"" in grading?",
220,SECTION 5: GRADING POLICIES (Q156–Q220),What is the A+ quality point value in the graduate grading scale?,
221,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",How are Carnegie Mellon academic scholarships initially awarded?,
222,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",For how many years is an academic scholarship renewable for most undergraduate students?,
223,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",For how many years is an academic scholarship renewable for architecture students?,
224,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What criterion must be met to have an academic scholarship automatically renewed?,
225,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",When is each scholarship recipient's QPA reviewed for renewal purposes?,
226,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What happens if a student does not meet the QPA requirement for scholarship renewal?,
227,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What does a merit scholarship appeal form review involve?,
228,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",Whose input is considered during a merit scholarship appeal?,
229,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What are the three possible outcomes of a merit scholarship appeal?,
230,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",Is a written explanation provided if a merit scholarship appeal is rejected?,
231,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",How does CMU treat tuition for undergraduate tuition exchange programs?,
232,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What forms of aid is a student eligible for in an undergraduate tuition exchange program?,
233,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",Does CMU assess tuition for Study Abroad Programs?,
234,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What institutional aid is available to students in approved Study Abroad Programs?,
235,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What state and federal aid may Study Abroad students receive?,
236,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)","What defines an ""approved Study Abroad Program"" at CMU?",
237,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What must be true about courses taken in a Study Abroad Program?,
238,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)","How does CMU define an ""International Student"" for financial aid purposes?",
239,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)","What is the U.S. Department of Education definition of an ""eligible noncitizen""?",
240,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",Are undergraduate international students eligible for federal or state student financial aid?,
